fecha;pasos;diasemana;dia;mes;año;estacion;findesemana;semana
24/2/2022;12.312;jueves;24;febrero;2022;verano;no;9
25/2/2022;11.153;viernes;25;febrero;2022;verano;no;9
26/2/2022;15.252;sabado;26;febrero;2022;verano;si;9
27/2/2022;9.778;domingo;27;febrero;2022;verano;si;9
28/2/2022;17.362;lunes;28;febrero;2022;verano;no;10
1/3/2022;7.653;martes;1;marzo;2022;verano;no;10
2/3/2022;8.817;miercoles;2;marzo;2022;verano;no;10
3/3/2022;15.300;jueves;3;marzo;2022;verano;no;10
4/3/2022;17.334;viernes;4;marzo;2022;verano;no;10
5/3/2022;5.453;sabado;5;marzo;2022;verano;si;10
6/3/2022;4.223;domingo;6;marzo;2022;verano;si;10
7/3/2022;13.774;lunes;7;marzo;2022;verano;no;11
8/3/2022;10.525;martes;8;marzo;2022;verano;no;11
9/3/2022;13.266;miercoles;9;marzo;2022;verano;no;11
10/3/2022;25.186;jueves;10;marzo;2022;verano;no;11
11/3/2022;10.882;viernes;11;marzo;2022;verano;no;11
12/3/2022;7.366;sabado;12;marzo;2022;verano;si;11
13/3/2022;8.318;domingo;13;marzo;2022;verano;si;11
14/3/2022;15.246;lunes;14;marzo;2022;verano;no;12
15/3/2022;10.094;martes;15;marzo;2022;verano;no;12
16/3/2022;21.078;miercoles;16;marzo;2022;verano;no;12
17/3/2022;17.176;jueves;17;marzo;2022;verano;no;12
18/3/2022;11.792;viernes;18;marzo;2022;verano;no;12
19/3/2022;11.058;sabado;19;marzo;2022;verano;si;12
20/3/2022;3.938;domingo;20;marzo;2022;verano;si;12
21/3/2022;8.105;lunes;21;marzo;2022;otoño;no;13
22/3/2022;9.032;martes;22;marzo;2022;otoño;no;13
23/3/2022;11.715;miercoles;23;marzo;2022;otoño;no;13
24/3/2022;5.185;jueves;24;marzo;2022;otoño;no;13
25/3/2022;8.785;viernes;25;marzo;2022;otoño;no;13
26/3/2022;5.029;sabado;26;marzo;2022;otoño;no;13
27/3/2022;6.618;domingo;27;marzo;2022;otoño;si;13
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
