fecha	pasos	diasemana	numerosemana	dia	mes	año	estacion	cuarentena	findesemana
11/5/2019	3.487	sabado	19	11	mayo	2019	otoño	no	si
12/5/2019	341	domingo	19	12	mayo	2019	otoño	no	si
13/5/2019	12.337	lunes	20	13	mayo	2019	otoño	no	no
14/5/2019	4.529	martes	20	14	mayo	2019	otoño	no	no
15/5/2019	7.702	miercoles	20	15	mayo	2019	otoño	no	no
16/5/2019	11.585	jueves	20	16	mayo	2019	otoño	no	no
17/5/2019	7.604	viernes	20	17	mayo	2019	otoño	no	no
18/5/2019	3.534	sabado	20	18	mayo	2019	otoño	no	si
19/5/2019	3.526	domingo	20	19	mayo	2019	otoño	no	si
20/5/2019	7.995	lunes	21	20	mayo	2019	otoño	no	no
21/5/2019	7.450	martes	21	21	mayo	2019	otoño	no	no
22/5/2019	8.269	miercoles	21	22	mayo	2019	otoño	no	no
23/5/2019	6.217	jueves	21	23	mayo	2019	otoño	no	no
24/5/2019	7.781	viernes	21	24	mayo	2019	otoño	no	no
25/5/2019	2.975	sabado	21	25	mayo	2019	otoño	no	si
26/5/2019	2.236	domingo	21	26	mayo	2019	otoño	no	si
27/5/2019	9.528	lunes	22	27	mayo	2019	otoño	no	no
28/5/2019	9.564	martes	22	28	mayo	2019	otoño	no	no
29/5/2019	2.056	miercoles	22	29	mayo	2019	otoño	no	no
30/5/2019	7.670	jueves	22	30	mayo	2019	otoño	no	no
31/5/2019	9.574	viernes	22	31	mayo	2019	otoño	no	no
1/6/2019	1.171	sabado	22	1	junio	2019	otoño	no	si
2/6/2019	1.914	domingo	22	2	junio	2019	otoño	no	si
3/6/2019	8.263	lunes	23	3	junio	2019	otoño	no	no
4/6/2019	8.907	martes	23	4	junio	2019	otoño	no	no
5/6/2019	9.240	miercoles	23	5	junio	2019	otoño	no	no
6/6/2019	7.014	jueves	23	6	junio	2019	otoño	no	no
7/6/2019	9.144	viernes	23	7	junio	2019	otoño	no	no
8/6/2019	7.192	sabado	23	8	junio	2019	otoño	no	si
9/6/2019	5.338	domingo	23	9	junio	2019	otoño	no	si
10/6/2019	9.108	lunes	24	10	junio	2019	otoño	no	no
11/6/2019	7.361	martes	24	11	junio	2019	otoño	no	no
